Zipcode,City,State,Lat,Long,Population
27610,RALEIGH,NC,35.82,-78.65,65648
85032,PHOENIX,AZ,33.62,-112,65485
92703,SANTA ANA,CA,33.74,-117.89,65445
92114,SAN DIEGO,CA,32.71,-117.05,65433
93230,HANFORD,CA,36.27,-119.63,65264
33411,WEST PALM BEACH,FL,26.74,-80.12,65245
78613,CEDAR PARK,TX,30.51,-97.83,65099
95687,VACAVILLE,CA,38.35,-121.93,65096
92021,EL CAJON,CA,32.84,-116.88,65068
95206,STOCKTON,CA,37.9,-121.4,65004
60609,CHICAGO,IL,41.83,-87.68,64906
19143,PHILADELPHIA,PA,39.95,-75.16,64849
20906,SILVER SPRING,MD,39.01,-77.02,64696
30024,SUWANEE,GA,34.05,-84.07,64614
93306,BAKERSFIELD,CA,35.43,-118.83,64587
78046,LAREDO,TX,27.53,-99.48,64548
90019,LOS ANGELES,CA,34.04,-118.34,64458
30022,ALPHARETTA,GA,34.06,-84.27,64359
60651,CHICAGO,IL,41.83,-87.68,64267
44035,ELYRIA,OH,41.37,-82.1,64263
89121,LAS VEGAS,NV,36.12,-115.08,64096
94080,SOUTH SAN FRANCISCO,CA,37.65,-122.42,63975
33024,HOLLYWOOD,FL,26.02,-80.16,63916
14850,ITHACA,NY,42.44,-76.5,63886
85308,GLENDALE,AZ,33.66,-112.18,63876
78596,WESLACO,TX,26.16,-97.98,63844
78666,SAN MARCOS,TX,29.88,-97.92,63836
60619,CHICAGO,IL,41.83,-87.68,63825
33311,FORT LAUDERDALE,FL,26.14,-80.13,63786
11213,BROOKLYN,NY,40.64,-73.94,63767
8753,TOMS RIVER,NJ,39.95,-74.18,63678
33023,HOLLYWOOD,FL,26.02,-80.16,63576
33015,HIALEAH,FL,25.86,-80.29,63544
11215,BROOKLYN,NY,40.64,-73.94,63488
60402,BERWYN,IL,41.84,-87.79,63448
6902,STAMFORD,CT,41.09,-73.55,63406
10701,YONKERS,NY,40.94,-73.86,63393
92677,LAGUNA NIGUEL,CA,33.53,-117.7,63297
78542,EDINBURG,TX,26.35,-98.11,63293
33157,MIAMI,FL,25.77,-80.2,63226
75002,ALLEN,TX,33.1,-96.66,63140
48180,TAYLOR,MI,42.22,-83.26,63131
19111,PHILADELPHIA,PA,40.06,-75.07,63090
97006,BEAVERTON,OR,45.52,-122.85,63036
7002,BAYONNE,NJ,40.66,-74.11,63031
90660,PICO RIVERA,CA,33.98,-118.08,62928
96706,EWA BEACH,HI,21.31,-158.01,62730
90640,MONTEBELLO,CA,34,-118.1,62549
11706,BAY SHORE,NY,40.72,-73.25,62543
84015,CLEARFIELD,UT,41.11,-112.05,62494
20878,GAITHERSBURG,MD,39.14,-77.21,62446
94509,ANTIOCH,CA,37.99,-121.81,62439
80015,AURORA,CO,39.69,-104.81,62432
90042,LOS ANGELES,CA,34.11,-118.19,62430
90037,LOS ANGELES,CA,34,-118.28,62276
30096,DULUTH,GA,34,-84.15,62265
95123,SAN JOSE,CA,37.23,-121.82,62228
90004,LOS ANGELES,CA,34.07,-118.31,62180
30062,MARIETTA,GA,33.95,-84.54,62136
91770,ROSEMEAD,CA,34.06,-118.08,62097
92562,MURRIETA,CA,33.54,-117.33,62079
92801,ANAHEIM,CA,33.84,-117.95,62068
44256,MEDINA,OH,41.13,-81.86,62039
11210,BROOKLYN,NY,40.64,-73.94,62008
95624,ELK GROVE,CA,38.44,-121.3,61989
17603,LANCASTER,PA,40.04,-76.3,61973
23462,VIRGINIA BEACH,VA,36.73,-76.04,61973
30135,DOUGLASVILLE,GA,33.74,-84.74,61912
21740,HAGERSTOWN,MD,39.63,-77.71,61859
92201,INDIO,CA,33.71,-116.23,61827
94541,HAYWARD,CA,37.67,-122.08,61635
87114,ALBUQUERQUE,NM,35.11,-106.62,61623
77494,KATY,TX,29.79,-95.82,61600
92627,COSTA MESA,CA,33.64,-117.91,61510
34953,PORT SAINT LUCIE,FL,27.27,-80.35,61494
91732,EL MONTE,CA,34.07,-118.01,61386
76063,MANSFIELD,TX,32.56,-97.11,61361
10009,NEW YORK,NY,40.71,-73.99,61347
95127,SAN JOSE,CA,37.37,-121.75,61325
80219,DENVER,CO,39.76,-104.87,61296
78501,MCALLEN,TX,26.21,-98.23,61219
94538,FREMONT,CA,37.5,-121.96,61148
48197,YPSILANTI,MI,42.24,-83.62,61132
